id	Sentença	Posição da palavra alvo	Palavra alvo	Classe	Obra	Autor	Ano	Movimento	tamanho sentença
45	As linhas do perfil desenham-se distintamente entre o ébano da caixa do piano, e as bastas madeixas ainda mais negras do que ele.	20	negras	negro	A Escrava Isaura	Bernardo Guimarães	1875	Romantismo	25
49	Os cabelos soltos e fortemente ondulados se despenham caracolando pelos ombros em espessos e luzidios rolos, e como franjas negras escondiam quase completamente o dorso da cadeira, a que se achava recostada.	20	negras	negro	A Escrava Isaura	Bernardo Guimarães	1875	Romantismo	35
59	Mas com todo esse luxo e donaire de grande senhora nem por isso sua grande beleza deixava de ficar algum tanto eclipsada em presença das formas puras e corretas, da nobre singeleza, e dos tão naturais e modestos ademanes da cantora.	9	senhora	senhor	A Escrava Isaura	Bernardo Guimarães	1875	Romantismo	44
65	é a senhora?!	2	senhora	senhor	A Escrava Isaura	Bernardo Guimarães	1875	Romantismo	5
77	Mas se a senhora não gosta dessa cantiga, não a cantarei mais.	3	senhora	senhor	A Escrava Isaura	Bernardo Guimarães	1875	Romantismo	14
79	Hão de pensar que és maltratada, que és uma escrava infeliz, vítima de senhores bárbaros e cruéis.	10	escrava	escravo	A Escrava Isaura	Bernardo Guimarães	1875	Romantismo	20
85	Hei de respeitar sempre as recomendações daquela santa mulher, e tu bem vês, sou mais tua amiga do que tua senhora.	22	senhora	senhor	A Escrava Isaura	Bernardo Guimarães	1875	Romantismo	24
90	— Mas, senhora, apesar de tudo isso, que sou eu mais do que uma simples escrava?	18	escrava	escravo	A Escrava Isaura	Bernardo Guimarães	1875	Romantismo	20
90	— Mas, senhora, apesar de tudo isso, que sou eu mais do que uma simples escrava?	3	senhora	senhor	A Escrava Isaura	Bernardo Guimarães	1875	Romantismo	20
96	Eu não, senhora; não tenho motivo...	3	senhora	senhor	A Escrava Isaura	Bernardo Guimarães	1875	Romantismo	9
101	— Eu, senhora!	3	senhora	senhor	A Escrava Isaura	Bernardo Guimarães	1875	Romantismo	5
108	— Perdoe-me, sinhá Malvina; — replicou a escrava com um cândido sorriso.	9	escrava	escravo	A Escrava Isaura	Bernardo Guimarães	1875	Romantismo	15
112	tu amas, e és mui linda e bem prendada para te inclinares a um escravo;	15	escravo	escravo	A Escrava Isaura	Bernardo Guimarães	1875	Romantismo	17
113	só se fosse um escravo, como tu és, o que duvido que haja no mundo.	4	escravo	escravo	A Escrava Isaura	Bernardo Guimarães	1875	Romantismo	18
117	deixa Leôncio chegar; é uma vergonha que uma rapariga como tu se veja ainda na condição de escrava.	18	escrava	escravo	A Escrava Isaura	Bernardo Guimarães	1875	Romantismo	20
118	— Deixe-se disso, senhora; eu não penso em amores e muito menos em liberdade; às vezes fico triste à toa, sem motivo nenhum...	4	senhora	senhor	A Escrava Isaura	Bernardo Guimarães	1875	Romantismo	28
158	Esta boa e respeitável senhora não tinha sido muito feliz nas relações da vida íntima com seu marido, que, como homem de coração árido e frio, desconhecia as santas e puras delícias da afeição conjugal, e com suas libertinagens e devassidões dilacerava cotidianamente o coração de sua esposa.	4	senhora	senhor	A Escrava Isaura	Bernardo Guimarães	1875	Romantismo	53
162	Havia nascido em casa uma escravinha, que desde o berço atraiu por sua graça, gentileza e vivacidade toda a atenção e solicitude da boa velha.	5	escravinha	escravo	A Escrava Isaura	Bernardo Guimarães	1875	Romantismo	28
163	Isaura era filha de uma linda mulata, que fora por muito tempo a mucama favorita e a criada fiel da esposa do comendador.	6	mulata	mulato	A Escrava Isaura	Bernardo Guimarães	1875	Romantismo	25
163	Isaura era filha de uma linda mulata, que fora por muito tempo a mucama favorita e a criada fiel da esposa do comendador.	18	criada	criado	A Escrava Isaura	Bernardo Guimarães	1875	Romantismo	25
164	Este, que como homem libidinoso e sem escrúpulos olhava as escravas como um serralho à sua disposição, lançou olhos cobiçosos e ardentes de lascívia sobre a gentil mucama.	11	escravas	escravo	A Escrava Isaura	Bernardo Guimarães	1875	Romantismo	31
168	Acabrunhado por ela das mais violentas e amargas exprobrações, o comendador não ousou mais empregar a violência contra a pobre escrava, e nem tampouco conseguiu jamais por outro qualquer meio superar a invencível repugnância que lhe inspirava.	21	escrava	escravo	A Escrava Isaura	Bernardo Guimarães	1875	Romantismo	40
171	O feitor, porém, que era um bom português ainda no vigor dos anos, e que não tinha as entranhas tão empedernidas como o seu patrão, seduzido pelos encantos da mulata, em vez de trabalho e surras, só lhe dava carícias e presentes, de maneira que daí a algum tempo a mulata deu à luz da vida a gentil escravinha, de que falamos.	33	mulata	mulato	A Escrava Isaura	Bernardo Guimarães	1875	Romantismo	71
171	O feitor, porém, que era um bom português ainda no vigor dos anos, e que não tinha as entranhas tão empedernidas como o seu patrão, seduzido pelos encantos da mulata, em vez de trabalho e surras, só lhe dava carícias e presentes, de maneira que daí a algum tempo a mulata deu à luz da vida a gentil escravinha, de que falamos.	57	mulata	mulato	A Escrava Isaura	Bernardo Guimarães	1875	Romantismo	71
171	O feitor, porém, que era um bom português ainda no vigor dos anos, e que não tinha as entranhas tão empedernidas como o seu patrão, seduzido pelos encantos da mulata, em vez de trabalho e surras, só lhe dava carícias e presentes, de maneira que daí a algum tempo a mulata deu à luz da vida a gentil escravinha, de que falamos.	65	escravinha	escravo	A Escrava Isaura	Bernardo Guimarães	1875	Romantismo	71
172	Este fato veio exacerbar ainda mais a sanha do comendador contra a mísera escrava.	13	escrava	escravo	A Escrava Isaura	Bernardo Guimarães	1875	Romantismo	15
173	Expeliu com impropérios e ameaças o bom e fiel feitor, e sujeitou a mulata a tão rudes trabalhos e tão cruel tratamento, que em breve a precipitou no túmulo, antes que pudesse acabar de criar sua tenra e mimosa filhinha.	14	mulata	mulato	A Escrava Isaura	Bernardo Guimarães	1875	Romantismo	44
