id	Sentença	Janela	Posição da palavra alvo	Palavra alvo	Classe	Obra	Autor	Ano	Movimento	tamanho janela
45	As linhas do perfil desenham-se distintamente entre o ébano da caixa do piano, e as bastas madeixas ainda mais negras do que ele.	madeixas ainda mais negras do que ele	20	negras	negro	A Escrava Isaura	Bernardo Guimarães	1875	Romantismo	7
49	Os cabelos soltos e fortemente ondulados se despenham caracolando pelos ombros em espessos e luzidios rolos, e como franjas negras escondiam quase completamente o dorso da cadeira, a que se achava recostada.	e como franjas negras escondiam quase completamente	20	negras	negro	A Escrava Isaura	Bernardo Guimarães	1875	Romantismo	7
59	Mas com todo esse luxo e donaire de grande senhora nem por isso sua grande beleza deixava de ficar algum tanto eclipsada em presença das formas puras e corretas, da nobre singeleza, e dos tão naturais e modestos ademanes da cantora.	donaire de grande senhora nem por isso	9	senhora	senhor	A Escrava Isaura	Bernardo Guimarães	1875	Romantismo	7
77	Mas se a senhora não gosta dessa cantiga, não a cantarei mais.	Mas se a senhora não gosta dessa	3	senhora	senhor	A Escrava Isaura	Bernardo Guimarães	1875	Romantismo	7
79	Hão de pensar que és maltratada, que és uma escrava infeliz, vítima de senhores bárbaros e cruéis.	que és uma escrava infeliz , vítima	10	escrava	escravo	A Escrava Isaura	Bernardo Guimarães	1875	Romantismo	7
90	— Mas, senhora, apesar de tudo isso, que sou eu mais do que uma simples escrava?	— Mas , senhora , apesar de	3	senhora	senhor	A Escrava Isaura	Bernardo Guimarães	1875	Romantismo	7
96	Eu não, senhora; não tenho motivo...	Eu não , senhora ; não tenho	3	senhora	senhor	A Escrava Isaura	Bernardo Guimarães	1875	Romantismo	7
108	— Perdoe-me, sinhá Malvina; — replicou a escrava com um cândido sorriso.	— replicou a escrava com um cândido	9	escrava	escravo	A Escrava Isaura	Bernardo Guimarães	1875	Romantismo	7
113	só se fosse um escravo, como tu és, o que duvido que haja no mundo.	se fosse um escravo , como tu	4	escravo	escravo	A Escrava Isaura	Bernardo Guimarães	1875	Romantismo	7
118	— Deixe-se disso, senhora; eu não penso em amores e muito menos em liberdade; às vezes fico triste à toa, sem motivo nenhum...	Deixe-se disso , senhora ; eu não	4	senhora	senhor	A Escrava Isaura	Bernardo Guimarães	1875	Romantismo	7
158	Esta boa e respeitável senhora não tinha sido muito feliz nas relações da vida íntima com seu marido, que, como homem de coração árido e frio, desconhecia as santas e puras delícias da afeição conjugal, e com suas libertinagens e devassidões dilacerava cotidianamente o coração de sua esposa.	boa e respeitável senhora não tinha sido	4	senhora	senhor	A Escrava Isaura	Bernardo Guimarães	1875	Romantismo	7
162	Havia nascido em casa uma escravinha, que desde o berço atraiu por sua graça, gentileza e vivacidade toda a atenção e solicitude da boa velha.	em casa uma escravinha , que desde	5	escravinha	escravo	A Escrava Isaura	Bernardo Guimarães	1875	Romantismo	7
163	Isaura era filha de uma linda mulata, que fora por muito tempo a mucama favorita e a criada fiel da esposa do comendador.	de uma linda mulata , que fora	6	mulata	mulato	A Escrava Isaura	Bernardo Guimarães	1875	Romantismo	7
163	Isaura era filha de uma linda mulata, que fora por muito tempo a mucama favorita e a criada fiel da esposa do comendador.	favorita e a criada fiel da esposa	18	criada	criado	A Escrava Isaura	Bernardo Guimarães	1875	Romantismo	7
